Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽)
Кухня;Стол обеденный;Равенна;D120 см;белый матовый;МДФ/металл;круглый, раздвижной;-;31900
Освещение;Светильник настольный;Эссен;35 см;белая/льняной;керамика/ткань;абажур льняной;-;4500
Кухня;Стул;Льеж;-;пыльно-розовый;велюр/бук;обеденный, мягкое сиденье, ножки бук;-;8400
Декор;Картина;-;50×70 см;-;холст/дерево;Подсолнухи, репродукция, багет золото;классика;3700
Декор;Ваза;-;35 см;нежно-розовый/золото;керамика;с золотым ободком;-;2400
Декор;Шкатулка;Палаццо;30×20×15 см;венге;дерево;с гравировкой;-;4200
Спальня;Кровать;Эра;180×200 см;капучино;кожзам/ЛДСП;изголовье каретная стяжка;-;47900
Детская;Коврик прикроватный;Малыш;80×140 см;принт облака;ткань;детский;детский;1800
Ванная;Шкаф пенал;Адриатика;35×30×170 см;белый глянец;МДФ;для ванной;-;7800
Кухня;Модуль кухонный;Бергамо;90×90 см;белый;ЛДСП/МДФ;нижний угловой, мойка;-;13700
Прихожая;Шкаф угловой;Атриум;90×90×220 см;ясень светлый;ЛДСП;в прихожую;-;19800
Текстиль;Дорожка ковровая;-;80×300 см;ясень/беж;шерсть;-;-;6400
Гостиная;Пуф;Лофт;45×45 см;графит;рогожка;куб;-;2700
Прихожая;Прихожая;Уют;100×100×210 см;белый/дуб сонома;ЛДСП;угловая, с обувницей;-;22800
Освещение;Гирлянда-штора;Метелица;3×2 м;тёплый белый;LED;300 ламп;-;2200
Кухня;Модуль кухонный;Премиум-Бергамо;90×60×90 см;белый матовый;ЛДСП/МДФ;с интегрированной посудомойкой;-;48700
Кухня;Винная стойка;Флоренция;-;чёрный/дерево;металл/дерево;напольная, на 24 бутылки;-;7800
Гостиная;Кресло-папасан;Бали;D110 см;зелёный;ротанг/велюр;натуральный ротанг;-;18700
Текстиль;Шторы;Тоскана;2×145×270 см;тёплый бежевый;лён;льняные;-;7900
Кабинет;Стол письменный;-;140×60 см;дуб сонома;ЛДСП;-;-;8400
Прихожая;Обувница;Альпы;90×30×90 см;белый матовый;ЛДСП/МДФ;закрытая, 3 откидных секции;-;7800
Текстиль;Плед;Натура;130×170 см;молочный;хлопок;вязаный;-;3400
Гостиная;Стеллаж;Самара;-;дуб сонома;ЛДСП;угловой, 5 полок;-;6700
Гостиная;Диван-софа;Аделина;2-местный;изумрудный;велюр;-;-;28600
Спальня;Кровать;Бергамо;160×200 см;пыльно-розовый;велюр/ЛДСП;подъёмный механизм;-;36800
Гостиная;Диван секционный;Бруклин;380×190 см;горчичный;велюр/ЛДСП;П-образный, 7 мест;-;128700
Гостиная;Диван прямой;Орбита;3-местный;-;велюр;-;-;249000
Гостиная;Журнальный стол;Лофт;100×60 см;-;металл/дуб;металлическая опора + дуб;лофт;9800
Текстиль;Ковёр-циновка;-;160×230 см;натуральный;джут;-;-;4700
Текстиль;Покрывало;-;200×220 см;оливковый;жаккард;цветочный паттерн;-;5400
Спальня;Кровать;Версаль;180×200 см;орех патина;дерево/ЛДСП;с тумбами в изголовье, каретка;классика;58900
Освещение;Бра;Камелия;-;розовый/латунь;латунь/ткань;с тканевым абажуром;-;3400
Кухня;Стул барный;Лион;-;натуральный;массив бука;сиденье круглое, лак;-;5400
Прихожая;Зеркало;Геометрия;80×100 см;-;латунь/стекло;art-объект, шестиугольные модули;-;32700
Детская;Кровать;Гранд;90×200 см;дуб артизан/синий;ЛДСП;с антресолью, лестница-комод;детский;38400
Спальня;Кровать;Стокгольм;160×200 см;дуб артизан;ЛДСП/дерево;с тумбами в изголовье;скандинавский;42900
Декор;Фоторамка;Тоскана;20×30 см;-;дерево;с патиной;-;52
Освещение;Лампа настольная;-;-;чёрный;пластик/LED;с диммером и USB;-;1800
Декор;Картина;Барселона;60×80 см;-;холст/дерево;Готический квартал, багет дерево;-;4200
Гостиная;Пуф;Кокон;D40 см;горчичный;велюр;круглый;-;3200
Балкон;Стол складной;Терраса;70×50 см;белый;металл/HPL;для балкона;-;3700
Прихожая;Зеркало напольное;Прага;50×170 см;венге;дерево/стекло;рама дерево;-;9800
Гостиная;Журнальный столик;-;D70 см;-;натуральный мрамор/латунь;круглый;-;17800
Спальня;Шкаф-купе;Премиум;250×65×240 см;орех/чёрный глянец;ЛДСП/зеркало/LED;с зеркалом и подсветкой;-;87900
Освещение;Бра LED;-;-;белый;металл/LED;с сенсором движения, для прихожей;-;2300
Спальня;Кровать;Аврора;180×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;41500
Гостиная;Кресло;Эдинбург;-;шотландская клетка;ткань/дуб;ушастое, с банкеткой, ножки дуб;-;42500
Гостиница;Кровать;Стандарт;90×200 см;кремовая;экокожа/ЛДСП;двойная для номера;гостиничный;14800
Гостиная;Шкаф-горка;Орхидея;300 см;бук бавария/состаренное золото;дерево/стекло/LED;с подсветкой;классика;58700
Гостиная;Стеллаж;Берлин;-;белый;ЛДСП;открытый, 6 секций;-;7900
Прихожая;Зеркало;Минск;D50 см;графит;металл/стекло;настенное, круглое;-;3200
Спальня;Тумба прикроватная;Стокгольм;45×40×50 см;дуб артизан;ЛДСП/дерево;на ножках;скандинавский;6700
Текстиль;Ковёр;Модерн;160×230 см;графит/беж;вискоза;абстрактный;-;14700
Гостиная;Шкаф книжный;Библиотека;200×35×220 см;венге;ЛДСП/стекло;4-секционный;-;43500
Кухня;Стул полубарный;Италия;65 см;оливковый;велюр/латунь;ножки латунь;-;6800
Прихожая;Обувница;Норвегия;80×22×85 см;дуб артизан;ЛДСП/МДФ;откидная, 2 секции;-;5400
Кухня;Стул складной;-;-;бук;металл/дерево;кухонный, серия Лайт;-;1900
Текстиль;Покрывало;Орхидея;200×220 см;светло-розовый;жаккард;цветочный узор;-;6400
Гостиная;Кресло-качалка;Прага;-;бежевая;ротанг/ткань;из ротанга, подушка;-;17800
Прихожая;Вешалка-стойка;Дания;45×45×175 см;натуральный;массив бука;натуральный лак;-;7900
Детская;Кровать-машинка;Авангард;80×170 см;синяя;ЛДСП/LED;LED-подсветка, гоночная;детский;24700
Декор;Подставка под цветок;-;80 см;-;искусственный ротанг;напольная;-;2400
Гостиная;Журнальный столик;Натура;D80 см;натуральный;массив дерева;круглый, скандинавский;скандинавский;22400
Текстиль;Плед;Венеция;200×220 см;шотландская клетка;шерсть;-;-;4700
Спальня;Шкаф;Орхидея;150×55×210 см;белый патина;ЛДСП/зеркало;3-створчатый, зеркальные вставки;-;33800
Кабинет;Стол учебный;Гранд;140×70 см;дуб артизан/графит;ЛДСП/металл;кабель-канал;-;13900
Спальня;Зеркало-трюмо;Виктория;80×40×150 см;белый/золото;МДФ/стекло;с табуретом;-;24800
Декор;Подсвечник;Готика;50 см;чёрный;металл;кованый, на 5 свечей;-;4800
Кухня;Стул барный;Кокон;-;пудровый;велюр/металл;поворотный;-;6300
Гостиная;Диван-кровать;Берн;220×100 см;серая;рогожка/ЛДСП;трансформер, тик-так;-;58400
Ванная;Тумба под раковину;Адриатика;80×45 см;белый глянец;МДФ;подвесная;-;14800
Кухня;Гарнитур кухонный;Палермо;2.0 м;белый/серый кашемир;ЛДСП/МДФ;прямой, столешница ЛДСП;-;58700
Текстиль;Подушка декоративная;Аметист;45×45 см;бордо/золото;бархат;с золотыми кистями;-;1800
Кухня;Гарнитур кухонный;-;1.6 м;белый матовый;ЛДСП;прямой, эконом;эконом;32400
Текстиль;Ковёр;Прага;200×300 см;-;шерсть/хлопок;орнамент;-;19400
Детская;Парта учебная;Эверест;120×60 см;дуб/синий;ЛДСП/металл;подростковая, регулировка наклона;детский;16800
Кухня;Пенал кухонный;Бергамо;60×60×210 см;белый матовый;ЛДСП/МДФ;духовой шкаф;-;19800
Детская;Кровать;Эверест;90×200 см;графит/жёлтый;ЛДСП/металл;с антресолью, рабочее место и шкаф;детский;42800
Спальня;Тумба;Версаль;50×40×55 см;орех патина;дерево/МДФ;прикроватная, с резьбой;классика;10400
Прихожая;Зеркало;Прованс;50×70 см;белая патина;дерево/стекло;декоративное, резная рама;классика;6700
Спальня;Зеркало напольное;Камелия;50×170 см;белый/розовая пудра;МДФ/стекло/LED;в раме с подсветкой;-;14700
Хозтовары;Ящик поделочный;Эра;35×25×18 см;орех;дерево;с резьбой;-;2700
Декор;Свечи ароматические;Тоскана;-;ваниль/корица/сандал;воск/стекло;набор 3 шт;-;2200
Ванная;Тумба под умывальник;Бергамо;100×45×55 см;дуб артизан/белый;МДФ/дерево;двойная, две раковины;-;28400
Гостиная;Кресло клубное;Нью-Йорк Club;-;коричневая;экокожа/дерево;с подлокотниками;классика;46700
Гостиная;Тумба под ТВ;Натура;150 см;орех;массив дерева;из массива;-;22800
Кабинет;Стол письменный;Натура;120×65 см;-;массив сосны;лак;-;19400
Гостиная;ТВ-стенка;Берлин;280 см;венге/дуб сонома;ЛДСП/стекло;модульная;-;26900
Текстиль;Подушка;Лофт;40×60 см;коричневый;кожзам;валик;-;1300
Прихожая;Прихожая;Берлин;240×40×210 см;дуб сонома/венге;ЛДСП/зеркало;модульная, со шкафом и зеркалом;-;38400
Гостиная;Диван-канапе;Камелия;2-местный;пудровый;велюр/металл;ножки гнутые золото;классика;43700
Гостиная;Кресло гостевое;Глория;-;серо-голубая;рогожка/дерево;с высокой спинкой;-;17900
Прихожая;Полка декоративная;Тоскана;60×20 см;дуб артизан;ЛДСП/металл;настенная, с крючками;-;2400
Прихожая;Прихожая;Прага;120×30×210 см;белый/венге;ЛДСП;модульная;-;19700
Кабинет;Кресло компьютерное;Минск;-;серая;сетка/металл;газлифт класс 3, эконом;эконом;7400
Кухня;Фартук кухонный;-;60×244 см;мрамор калакатта;ПВХ;панель;-;1900
Прихожая;Шкаф;Дания;60×35×205 см;ясень шимо светлый;ЛДСП;штанга и полки;-;13800
Спальня;Тумба прикроватная;Полярная;50×35×35 см;белый матовый;МДФ;подвесная;-;5900
Декор;Шкатулка;Тиффани;28×18×12 см;-;дерево/стекло;с витражной вставкой;-;3800
Декор;Картина;Флоренция;60×80 см;-;холст;абстракция, фактурная;-;4700
Спальня;Туалетный столик;Прага;80×40×140 см;белый;ЛДСП/стекло;с зеркалом;-;16800
Гостиная;Шкаф-витрина;Тиффани;80×40×195 см;белый патина;дерево/стекло;с гравировкой стекла;классика;38900
Спальня;Шкаф;Самара;150×55×210 см;ясень шимо светлый;ЛДСП/зеркало;3-дверный, с зеркалом;-;31900
Гостиная;Кресло;Мадрид;-;капучино;шенилл/металл;поворотное, металлическая ножка;-;24700
Спальня;Кровать водяная;Адриатик;180×200 см;кофе;искусственная кожа/ЛДСП;с термостатом;-;87900
Кабинет;Тумба офисная;-;40×50×60 см;серый;ЛДСП/металл;подкатная, 3 ящика, замок;-;7800
Кабинет;Стол офисный;-;160×80 см;серый кашемир;ЛДСП;-;-;9700
Кухня;Стул;Прага;-;серый;велюр/дерево;с мягким сиденьем, ножки массив;классика;5700
Детская;Кровать-чердак;Олимп;90×200 см;белый/розовый;ЛДСП/металл;с диваном и столом;детский;39700
Спальня;Кровать-бокс;Соната;90×200 см;пыльно-розовая;рогожка/ЛДСП;подъёмный механизм;-;28400
Текстиль;Ковёр;-;200×290 см;серый меланж;акрил;-;-;9800
Спальня;Комод;-;80×40×90 см;белый;ЛДСП;4 ящика;-;8900
Гостиная;Стеллаж;Геометрия;200×40×220 см;белый/чёрный;ЛДСП/металл;многоуровневый, из сот-ячеек;-;22400
Прихожая;Шкаф узкий;-;60×35×210 см;ясень шимо светлый;ЛДСП;в прихожую;-;9800
Декор;Панно;Флоренция;60×80 см;белый;гипс;3D, абстракция;-;4900
Спальня;Кровать;Меридиан;180×200 см;пыльный голубой;велюр/дерево;на ножках, изголовье капитоне;-;42900
Спальня;Кровать;Орхидея;160×200 см;белый;ЛДСП;подъёмный механизм;-;27500
Гостиница;Мини-бар;-;60×50×85 см;дуб артизан;ЛДСП/металл;с холодильной нишей, для номера;гостиничный;18400
Гостиная;Диван-трансформер;Модерн;-;светло-серый;ткань/ЛДСП;тик-так;-;47200
Кабинет;Кресло;Льеж;-;серая;ткань/металл;офисное, эконом, газлифт класс 2;эконом;8400
Декор;Картина;Венеция;50×70 см;-;холст/багет;репродукция, золото;классика;4900
Кабинет;Стол письменный;Конструктор;110×55 см;-;бук;трансформер;-;7900
Гостиная;Диван модульный;Сохо;3+3 секции;чёрная;кожа/металл;секционный, два реклайнера;премиум;156400
Спальня;Кровать;Стелла;180×200 см;белая;экокожа/ЛДСП;ортопедическое основание;-;42500
Декор;Корзина;Тоскана;45×45×55 см;-;джут/кожа;плетёная, ручки кожаные;-;3700
Декор;Шкатулка;Орхидея;22×16×10 см;-;бархат/зеркало;бархатная, с зеркалом внутри;-;2400
Детская;Шкаф;Олимп;120×55×210 см;белый/бирюзовый;ЛДСП;подростковый, 3-дверный, штанга;детский;22400
Кухня;Гарнитур кухонный;-;1.8 м;белый/венге;ЛДСП/МДФ;прямой, базовая комплектация;-;39800
Ванная;Зеркало-шкаф;Сиена;80×15×70 см;белый матовый;МДФ/стекло/LED;с подсветкой и розеткой;-;15800
Гостиная;Кресло-реклайнер;Меридиан;-;чёрный;кожа PU/металл;массаж спины, электропривод;-;72800
Декор;Скульптура;Венера;50 см;белый;искусственный мрамор;классика;классика;7400
Спальня;Кровать водяная;Меридиан;200×200 см;графит;экокожа/ЛДСП;king-size, термоуправление;премиум;126400
Прихожая;Зеркало;Лофт;D70 см;чёрный;металл/стекло;в раме, круглое;лофт;6300
Прихожая;Скамья-обувница;Атриум;-;коричневая;экокожа/металл;с откидным сиденьем;-;6900
Освещение;Люстра;Прага;-;-;латунь/хрусталь;классическая, 6 ламп;классика;19700
Кухня;Стул барный;Турин;-;чёрная/хром;экокожа/металл;регулируемая высота;-;5400
Ванная;Зеркало;Венето;D70 см;-;латунь/стекло;с подсветкой, IP44;-;12400
Спальня;Тумбочка прикроватная;Карина;45×40×55 см;белый;ЛДСП;с двумя ящиками;-;4400
Детская;Шкаф угловой;Феникс;90×90×210 см;белый/мятный;ЛДСП/зеркало;подростковый, с зеркалом;детский;26900
Детская;Кресло-мешок;Малыш;-;синий;ткань/гранулы;детское, мяч;детский;1800
Декор;Подставка под цветок;Флоренция;25×25×60 см;белая;керамика;с автополивом;-;3700
Освещение;Гирлянда сетка;-;2×2 м;тёплый белый;LED;200 ламп;-;2700
Декор;Картина;-;70×50 см;-;холст/дерево;Морошковое утро, рама натуральная;-;3900
Кухня;Барный шкаф;Венеция;55×40×110 см;чёрный матовый;ЛДСП/металл;напольный, на колёсах;-;14700
Гостиная;Кресло;Глория;-;серый меланж;велюр/металл;с подставкой для ног;-;19400
Спальня;Изголовье кровати;Виктория;160×120 см;пыльная роза;велюр/ЛДСП;мягкое;-;14200
Прихожая;Прихожая;Стокгольм;180×35×210 см;ясень светлый;ЛДСП;скандинавский стиль;скандинавский;28700
Прихожая;Полка навесная;-;60×20 см;белый матовый;МДФ/металл;с крючками;-;1500
Детская;Кровать-машина;Феррари;80×170 см;красный;пластик/LED;детская, с подсветкой;детский;24700
Детская;Кровать;Малыш;90×200 см;дуб сонома;ЛДСП;односпальная;детский;9800
Детская;Стенка-горка;Феникс;280×40×195 см;графит/жёлтый;ЛДСП;подростковая;детский;36700
Текстиль;Покрывало;Иней;150×200 см;молочный;трикотаж;вязаное, крупная вязка;-;4400
Кабинет;Стол письменный;-;120×60 см;белый;ЛДСП;-;-;540
Гостиная;Полка-сота;Кокон;-;белая;МДФ;настенная, декоративная;-;1700
Спальня;Тумбочка прикроватная;Берлин;45×40×50 см;белый;ЛДСП;с 2 ящиками;-;4200
Текстиль;Шторы;Прага;2×140×270 см;графит;ткань;готовые, блэкаут;-;5400
Детская;Кровать двухъярусная;Малыш;80×190 см;белый;ЛДСП;с лестницей-комодом;детский;26800
Детская;Парта-трансформер;-;-;дуб артизан/синий;ЛДСП/металл;с книжной полкой, регулировка высоты;детский;15700
Освещение;Бра;Венеция;-;-;латунь/хрусталь;1-рожковое, классика;классика;6700
Кухня;Стол банкетный;-;240×80 см;белый глянец;ЛДСП/лак;раздвижной, торжественный;-;38900
Гостиная;Кресло-реклайнер;Модерн;-;коричневая;экокожа/металл;механический механизм;-;32900
Туризм;Стул складной;Конструктор;-;зелёная;металл/ткань;туристический;-;1600
Гостиная;Диван оттоманка;Версаль;200×90 см;бордо;бархат/дерево;правый угол;классика;58400
Спальня;Кровать;Стокгольм;140×200 см;оливковый;велюр/дерево;на ножках;скандинавский;29900
Прихожая;Шкаф угловой;Самара;80×80×210 см;ясень шимо/венге;ЛДСП;в прихожую;-;17800
Кухня;Стул кухонный;Лофт;-;чёрный/дуб;металл/дерево;металл чёрный с дубовым сиденьем;лофт;3400
Спальня;Шкаф-купе;Прага;120×60×220 см;венге;ЛДСП/зеркало;2-дверный;-;28900
Гостиная;Диван Chesterfield;Лондон;240×95 см;бордо;кожа честерфилд/дерево;каретная стяжка;классика;138900
Гостиная;Стеллаж напольный;-;80×30×160 см;дуб сонома;ЛДСП;4-полочный;-;5400
Спальня;Кровать водяная;Адриатика;180×200 см;белая;экокожа/ЛДСП;интеллектуальное управление;премиум;132700
Текстиль;Ковёр;Кокон;D200 см;молочный;акрил;круглый, длинный ворс;-;7900
Гостиная;Сервант;Аделина;220×45×100 см;-;дерево/стекло;комбинированный, низкий с витриной;классика;67400
Освещение;Бра;Орлеан;-;слоновая кость/латунь;латунь/ткань;с тканевым абажуром;-;3900
Прихожая;Зеркало;Венеция;60×80 см;золото;дерево/стекло;настенное, в раме;классика;5700
Гостиная;Стеллаж угловой;Модерн;60×60×180 см;-;металл/дуб артизан;4-уровневый;-;8700
Гостиная;Кофейный столик;Малибу;D50 см;-;мрамор/латунь;круглый;-;16800
Декор;Статуэтка;-;30 см;золото;керамика;лошадь, серия Базовая;-;3200
Кабинет;Подставка для книг;Венеция;30×20 см;чёрный/мрамор;металл/мрамор;-;-;2200
Гостиная;Кресло-мешок;Облако;80×60 см;чёрная;водоотталкивающая ткань;M;-;2800
Гостиная;Стеллаж-перегородка;Аметист;-;чёрный/дуб артизан;металл/ЛДСП;4 ячейки;-;8400
Хозтовары;Ящик поделочный;Скандинав;50×30×25 см;-;сосна;натуральная, откидная крышка;-;2400
Детская;Кресло;Турин;-;розовая;сетка/пластик;детское компьютерное, до 60 кг;детский;5700
Декор;Фоторамка;Семья;60×40 см;венге;дерево;коллаж на 7 фото;-;1800
Кабинет;Картотека;Архив;-;серый;металл;на 4 ящика;-;13700
Декор;Подсвечник;Прованс;D8×12 см;прозрачное;стекло;набор 3 шт;-;990
Спальня;Шкаф-купе;Дрезден;320×60×240 см;бодега;ЛДСП/стекло;4-дверный, фотопечать;-;72500
Текстиль;Покрывало плед;Иней;200×220 см;белый/серебро;жаккард;-;-;5800
Кухня;Стул барный;Турин;-;синяя/хром;экокожа/металл;регулируемая высота;-;5400
Спальня;Комод;Сканди;80×40×110 см;ясень светлый;ЛДСП/дерево;5-ящичный, ножки натуральные;скандинавский;19700
Освещение;Люстра;Барокко;-;кремовые/бронза;металл/ткань;12 ламп E14, состаренная бронза;классика;42400
Детская;Кровать-карета;Принцесса;90×190 см;розовый;бархат/ЛДСП;детская, с балдахином;детский;31900
Детская;Диван;Малыш;160×80 см;принт машинки;ткань/ЛДСП;детский, раскладной;детский;13900
Детская;Шкаф;Феникс;-;графит/жёлтый;ЛДСП;для подростковой, 4-дверный;детский;31900
Декор;Статуэтка;Слон;25 см;венге/перламутр;дерево;резной, инкрустация;-;4200
Спальня;Кровать;Орхидея;160×200 см;орех;ЛДСП;подъёмный механизм;-;27500
Кухня;Столик сервировочный;Бостон;-;-;бамбук;на колёсах;-;4700
Ванная;Зеркало;Полярная;50×70 см;-;стекло/LED/металл;прямоугольное, антипар, сенсорное;-;8400
Гостиная;Диван Chesterfield;Виндзор;200×90 см;изумрудный;бархат/дуб;ножки массив дуба;классика;124700
Спальня;Тумбочка прикроватная;Кокон;-;дуб молочный;ЛДСП;подвесная;-;5100
Кухня;Стул;Гудрун;-;натуральный;массив ясеня/дерево;скандинавский, ножки натуральные;скандинавский;3900
Гостиная;Кресло;Виктория;-;-;бук/гобелен;классическое, резные ножки, флор;классика;26900
Декор;Статуэтка;Флоренция;40 см;бронза;металл;танцовщица;-;4800
Декор;Подсвечник;Венеция;-;-;чугун;настенный, кованый, на 3 свечи;-;3400
Декор;Скульптура;Лошадь;35×40 см;бронза;металл;ретро-стиль;-;4900
Гостиная;Тумба под телевизор;Кокон;100 см;белый матовый;ЛДСП;-;-;7800
Кухня;Стул барный;-;50×50×85 см;коричневая;экокожа/металл;со спинкой;-;3900
Спальня;Шкаф;Барс;180×60×220 см;дуб сонома/венге/орех глянец;ЛДСП;3-дверный;-;38400
Детская;Кровать двухъярусная;Малыш;80×190 см;дуб молочный/венге;ЛДСП;-;детский;19800
Спальня;Кровать;Берлин;160×200 см;графит;велюр/ЛДСП;с мягким изголовьем;-;33700
Гостиная;Кресло-реклайнер;Орлеан;-;кофейный;кожа PU/металл;электропривод;-;58900
Декор;Картина;Северянин;60×80 см;-;холст/лак;Карельские сосны, лакировка;-;4400
Спальня;Шкаф-купе;Турин;200×60×240 см;графит;ЛДСП/стекло;фотопечать Город;-;67800
Гостиная;Кресло-реклайнер;Адмирал;-;коричневая;кожа/металл;Lounge, подножка, USB;-;78400
Гостиная;Банкетка;Палаццо;160×40×45 см;бордовый;бархат/металл;ножки золото;классика;14700
Декор;Скульптура;Танец;45 см;хром/дуб;металл/дерево;современная, абстракция;-;6800
Гостиная;Кресло-реклайнер;Барон;-;коричневая;рогожка/металл;механический привод;-;31400
Текстиль;Ковёр;Сканди;D200 см;серый меланж;акрил;круглый, короткий ворс;-;9800
Спальня;Кровать;Лион;160×200 см;ясень шимо/венге;ЛДСП/дерево;с тумбами в изголовье, капитоне;-;46700
Декор;Зеркало;Море;80×60 см;синяя глянцевая;МДФ/стекло;art, форма облака;-;18900
Прихожая;Вешалка напольная;Лофт;60×40×170 см;чёрный/дуб;металл/дерево;с дубовой полкой;лофт;3400
Спальня;Туалетный столик;Камелия;90×40 см;розовая пудра;МДФ/стекло;с откидным зеркалом и табуретом;-;21700
Прихожая;Обувница;Норвегия;60×22×85 см;белый;ЛДСП/МДФ;компактная, 2 секции;-;180
Детская;Кресло компьютерное;Карина;-;розовое;ткань/пластик;детское;детский;5400
Спальня;Тумба прикроватная;Версаль;-;белый/золотая патина;МДФ;с 3 ящиками;классика;18900
Освещение;Бра-софит;Модерн;-;белый;металл/LED;LED;-;2700
Декор;Картина;Тоскана;60×90 см;-;холст/дерево;Виноградники, масло;-;6400
Кухня;Стол обеденный;Равенна;D120 см;чёрный матовый;МДФ/металл;круглый, раздвижной;-;31900
Гостиная;Шкаф-витрина;Версаль;100×40×210 см;орех патина;дерево/стекло/LED;классика, с подсветкой;классика;42800
Гостиная;Шкаф-горка;Версаль;280 см;орех патина;дерево/стекло;классика, с резьбой;классика;58700
Гостиная;Кресло-реклайнер;Глория;-;серая;рогожка/металл;механический;-;26900
Гостиная;Диван-канапе;Версаль;2-местный;изумрудный;велюр/дерево;классический, ножки гнутые;классика;46900
Спальня;Кровать;Ампир;180×200 см;-;латунь/ткань;латунная, с балдахином;классика;112400
Спальня;Кровать;Сицилия;180×200 см;бежевая;экокожа/ЛДСП;подъёмный механизм;классика;39800
Гостиная;Стенка-горка;Лагуна;320 см;белый глянец/дуб артизан;ЛДСП/стекло;модульная;-;58900
Детская;Кровать-машинка;-;80×180 см;синяя;ЛДСП/пластик/LED;детская, с подсветкой, пожарная графика;детский;22400
Гостиная;Полка-сота;-;-;дуб артизан;МДФ;настенная, декоративная, комплект 3 шт;-;2700
Гостиная;Кресло Lounge;Палаццо;-;пыльно-розовый;велюр/металл;классическое, с подушкой, ножки золото;классика;34800
Декор;Картина;Орхидея;50×70 см;-;холст/багет;ботанический принт, багет золото;-;4200
Спальня;Кровать;Тюльпан;90×200 см;салат;велюр/ЛДСП;односпальная, изголовье-цветок;-;21700
Ванная;Тумба под раковину;-;100×45 см;серый шёлк;МДФ;подвесная, серия Стандарт;-;17400
Кабинет;Кресло компьютерное;Бергамо;-;зелёная;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Декор;Ваза;Афина;70 см;белый кракелюр/золото;керамика;напольная;классика;7400
Кабинет;Кресло компьютерное;Бергамо;-;чёрная;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Освещение;Торшер;Венеция;165 см;серый;металл/ткань;напольный, тканевый абажур;-;7800
Спальня;Кровать;Меридиан;140×200 см;терракот;велюр/дерево;реечное основание;-;31700
Балкон;Комплект балконный;Терраса;-;-;металл/тик;стол + 2 стула, складной;-;9700
Детская;Кровать двухъярусная;Дуэт;80×190 см;белый/розовый;ЛДСП/металл;с лестницей и ящиками;детский;28700
Детская;Кровать-чердак;Авангард;90×200 см;графит/дуб;ЛДСП/металл;с гардеробной и лестницей-комодом;детский;38900
Кухня;Стол обеденный;Венеция;D110 см;-;мрамор/бронза;круглый;-;47900
Ванная;Тумба под раковину;Адриатика;80×45×55 см;белый/дерево;МДФ/дерево;с двумя ящиками;-;14400
Прихожая;Зеркало;Берлин;60×120 см;дуб сонома;ЛДСП/стекло;в прихожую, с полкой и крючками;-;5400
Освещение;Гирлянда уличная;Метелица;10 м;холодный белый;LED;IP44;-;2700
Прихожая;Зеркало напольное;Полярная;D80 см;белый;металл/стекло;круглое, в раме;-;11700
Гостиная;Кресло Lounge;Камея;-;-;гобелен/дерево;с подлокотниками, ножки массив;классика;31700
Текстиль;Шторы;Кокон;2×150×270 см;молочный;лён;льняные;-;7800
Прихожая;Прихожая мини;Эконом;100×30×190 см;венге;ЛДСП/зеркало;с зеркалом;эконом;9800
Декор;Шкатулка;Венеция;25×18×12 см;бордо/золото;бархат/зеркало;бархат с зеркалом;-;3700
Хозтовары;Ящик поделочный;Натура;40×28×22 см;-;дуб массив;без отделки;-;3700
Балкон;Шкаф;Терраса;60×35×180 см;белый;ЛДСП;балконный, 2 секции с полками;-;9800
Декор;Картина;Прованс;60×80 см;-;холст/дерево;Лавандовое поле, багет белёный;классика;6700
Офис;Стойка ресепшен;Модерн;200×70×110 см;белый глянец/чёрный матовый;ЛДСП/МДФ;минимализм;-;124800
Прихожая;Обувница;Дания;100×35×50 см;серая;рогожка/ЛДСП;с сиденьем, ящик под обувь;-;8400
Детская;Кровать-чердак;Школьник;80×190 см;дуб сонома/венге;ЛДСП/металл;с рабочей зоной;детский;23900
Ванная;Шкаф-пенал;Сиена;40×30×180 см;белый глянец;МДФ;ванный, 2 дверцы и полки;-;11700
Гостиная;Банкетка;Глория;100×40×45 см;беж;рогожка/ЛДСП;с местом хранения;-;7400
Освещение;Лампа настольная;Прага;-;бежевый;металл/ткань;классическая, тканевый абажур;классика;3700
Спальня;Кровать;Виктория;160×200 см;изумрудный;бархат/ЛДСП;подъёмный механизм, изголовье капитоне;-;52900
Освещение;Светильник напольный;Прованс;165 см;белая патина;металл/ткань;торшер, абажур плиссе;классика;9400
Декор;Ваза;Афродита;90 см;состаренная бронза;керамика;напольная, амфора;классика;9800
Гостиница;Зеркало;-;60×120 см;-;стекло/МДФ;настенное, с фацетом, для отеля;гостиничный;5800
Кабинет;Шкаф книжный;Модерн;90×90×210 см;дуб артизан/графит;ЛДСП;угловой;-;38900
Гостиная;Сервант-витрина;Версаль;100×40×190 см;орех/стекло;дерево/стекло;классика;классика;36400
Гостиная;Шкаф-витрина;Лион;120×40×210 см;орех тёмный;дерево/стекло/зеркало;с зеркальной задней стенкой;-;48900
Кухня;Шкаф верхний;-;60×30×72 см;белый матовый;ЛДСП/стекло;кухонный, с витринным стеклом;-;7900
